market,day,new_downloads,onboarding_started,onboarding_completed,first_value_under_60s,d1_retained,d7_retained,closing_capsules,shares,paywall_views,purchases,notes
TW,1,,,,,,,,,,,
TW,2,,,,,,,,,,,
TW,3,,,,,,,,,,,
TW,4,,,,,,,,,,,
TW,5,,,,,,,,,,,
TW,6,,,,,,,,,,,
TW,7,,,,,,,,,,,
TW,8,,,,,,,,,,,
TW,9,,,,,,,,,,,
TW,10,,,,,,,,,,,
TW,11,,,,,,,,,,,
TW,12,,,,,,,,,,,
TW,13,,,,,,,,,,,
TW,14,,,,,,,,,,,
HK,1,,,,,,,,,,,
HK,2,,,,,,,,,,,
HK,3,,,,,,,,,,,
HK,4,,,,,,,,,,,
HK,5,,,,,,,,,,,
HK,6,,,,,,,,,,,
HK,7,,,,,,,,,,,
HK,8,,,,,,,,,,,
HK,9,,,,,,,,,,,
HK,10,,,,,,,,,,,
HK,11,,,,,,,,,,,
HK,12,,,,,,,,,,,
HK,13,,,,,,,,,,,
HK,14,,,,,,,,,,,
KR,1,,,,,,,,,,,
KR,2,,,,,,,,,,,
KR,3,,,,,,,,,,,
KR,4,,,,,,,,,,,
KR,5,,,,,,,,,,,
KR,6,,,,,,,,,,,
KR,7,,,,,,,,,,,
KR,8,,,,,,,,,,,
KR,9,,,,,,,,,,,
KR,10,,,,,,,,,,,
KR,11,,,,,,,,,,,
KR,12,,,,,,,,,,,
KR,13,,,,,,,,,,,
KR,14,,,,,,,,,,,
JP,1,,,,,,,,,,,
JP,2,,,,,,,,,,,
JP,3,,,,,,,,,,,
JP,4,,,,,,,,,,,
JP,5,,,,,,,,,,,
JP,6,,,,,,,,,,,
JP,7,,,,,,,,,,,
JP,8,,,,,,,,,,,
JP,9,,,,,,,,,,,
JP,10,,,,,,,,,,,
JP,11,,,,,,,,,,,
JP,12,,,,,,,,,,,
JP,13,,,,,,,,,,,
JP,14,,,,,,,,,,,
